Presenting	Twitter	What	Slides (link)	Sesson type	Misc
Peter Laurinec 	@petolauri	Time Series Representations for Better Data Mining 		lightning	
Samuel Borms		An integrated framework in R for textual sentiment time series aggregation and prediction 		lightning	
Tamas Szilagyi 	@tudosgar	Robust Data Pipelines with Drake and Docker 		lightning	
Tamás Nagy 	@nagyt	Manage your meta-analysis workflow like a boss: Introducing the {metamanager} package 		lightning	
Tatjana Kecojevic 	@Tatjana_Kec	Setting up your R workshop in the cloud 		lightning	
Timothy Wong		Generalised Additive Model for Gas Boiler Breakdown Demand Prediction 		lightning	
Titus Laska		Quality Assurance in Healthcare with R 		lightning	
Agnieszka Borsuk-De Moor 		Informed clinical decisions based on population pharmacometric models with the aid of Shiny 		shinydemo	
András Tajti 	@atajti	Shiny Dashboard on streaming data 		shinydemo	
Bartosz Czernecki	@iqdata2	What is the best place to be? Location optimization with R and Google Maps 		shinydemo	
Peter Szabolcs 		Visualizing vehicle usage with the leaflet package 		shinydemo	
Dávid Gyurkó 		Going async with Shiny 		shinydemo	
Francesca Vitalini 	@Pisita11	SmaRP: Smart Retirement Planning A Shiny App to evaluate retirement benefits and optimization thereof, in the context of the Swiss system. 		shinydemo	
Kamil Wais 		Towards Native Declarative Data Collection with Question and Survey Instant Feedback in R&Shiny 		shinydemo	
Max Grütter 	@MaxGruetter	The Zurich RealEstateApp - An R-Shiny application for the Zurich real estate market 		shinydemo	
Anne Bras		razy Sequential Representations of Natural Numbers 		poster	
Bartosz Czernecki	@iqdata2	Finding relevant atmospheric predictors of surface precipitation type 		poster	
Daniel Tiezzi	@Dgtiezzi	Distinct operative mutational processes across breast cancer subtypes. 		poster	
Emanuele Cordano		R use in Hydrology: an example with R and the hydrological model GEOtop 		poster	
Krzysztof Marcinkowski		Modelling of job offers 		poster	
Leodolter Maximilian		Incremental Dynamic Time Warping in R 		poster	
Leszek Kolendowicz		Application of 'R' to assess the impact of biometeorological conditions for the landscape perception and objectification of its evaluation – experiment with eyetracking glasses 		poster	
Lubomír _t_pánek	@LubomirStepanek	Facial attractiveness evaluation for purposes of plastic surgery using web-based shiny application 		poster	
Mariann Borsos 		Effect of patient compliance on long-term survival 		poster	
Marta Sestelo	@MartaSestelo	survidm: Inference and Prediction in an Illness-Death multi-state Model 		poster	
Matteo Lattuada 		Differential impact of anthropogenic pressures on Caspian Sea ecoregions 		poster	
Mauricio Moreno-Zambrano		Mathematical modelling of cocoa bean fermentation using a Bayesian framework 		poster	
Michael Kala		The comparison of robust and non-robust geostatistical model of meteorological data from Estonia 		poster	
Michael Themessl-Huber		Reproducibility of data analysis and reporting with R, R Markdown, knitr and LaTeX using the example of the standardized Austrian school leaving exam 		poster	
Milan _ist_		Hydrological and data-driven simulation of river flows in R 		poster	
Mónica Balzarini		A user-friendly interface for spatial data analysis with R 		poster	
Nora M. Villanueva	@noramvillanueva	Finding groups in time-to-event data by means of the clustcurv package 		poster	
Piotr Opiela		Hierarchical Cluster Analysis 		poster	
Sami Diaf 		Generating Time Series' Latent Factors with Variational Autoencoders 		poster	
Tereza Konecna 		EstWeibull: an R package for estimation of parameters for two-parameters Weibull distribution 		poster	
Zsuzsanna Szabó		Predicting performance of concrete structures by machine learning 		poster	
Colin Fay 	@_ColinFay	Building a package that lasts 		tutorial	
Ildiko Czeller	@czeildi	Clean R code - how to write it and what will the benefits be 		tutorial	
Colin Gillespie 	@csgillespie	Efficient R programming 		tutorial	
Isabella Gollini	@R_Forwards	Forwards Package Development Workshop for Women 		tutorial	
János Divényi	@divenyijanos	The beauty of data manipulation with data.table 		tutorial	
Jo-fai Chow 	@matlabulous	Automatic and Interpretable Machine Learning in R with H2O and LIME 		tutorial	
Grace Meyer		Building an Interpretable NLP model to classify tweets 		tutorial	
Przemyslaw Biecek	@smarterpoland	DALEX: Descriptive mAchine Learning EXplanations . Tools for exploration, validation and explanation of complex machine learning models 		tutorial	
Aimee Gott	@aimeegott_R	Deep Learning with Keras for R 		tutorial	
Jannes Muenchow		Geocomputation with R 		tutorial	
Martijn Tennekes 		Plotting spatial data in R 		tutorial	
Claus Ekstrøm	@ClausEkstrom	Building a pipeline for reproducible data screening and quality control 		tutorial	
Benjamin Ortiz Ulloa 	@plzbeemyfriend	Graphs: A datastructure to query 		tutorial	
